t_index term df
1690 certifi 3
1691 cesar 2
1692 cessat 1
1693 cessna 7
1694 cetera 1
1695 cetinj 1
1696 cha 1
1697 chad 1
1698 chadwick 2
1699 chafe 3
1700 chagrin 1
1701 chain 10
1702 chair 17
1703 chairman 55
1704 chairmen 3
1705 chalk 2
1706 challeng 84
1707 chamber 16
1708 chamberlain 2
1709 chameleon 1
1710 champ 9
1711 champion 55
1712 championship 7
1713 chanc 99
1714 chancellor 5
1715 chanda 3
1716 chandeli 2
1717 chandler 6
1718 chandrika 1
1719 chang 144
1720 changeov 9
1721 channel 18
1722 chant 31
1723 chao 36
1724 chaotic 7
1725 chap 2
1726 chapel 4
1727 chaplain 7
1728 chaplin 1
1729 chappaqua 11
1730 chapter 7
1731 char 3
1732 charact 13
1733 character 7
1734 characterist 5
1735 charad 1
1736 charg 193
1737 charisma 2
1738 charit 5
1739 chariti 5
1740 charl 24
1741 charleston 2
1742 charlestown 1
1743 charli 2
1744 charlott 2
1745 chart 2
1746 charter 7
1747 chase 22
1748 chasm 2
1749 chat 5
1750 chattanooga 1
1751 chatti 1
1752 chau 1
1753 chauffeur 1
1754 chavez 4
1755 cheap 1
1756 cheat 11
1757 chebeck 8
1758 chechnya 8
1759 check 40
1760 checker 1
1761 checkpoint 2
1762 checkup 3
1763 cheek 1
1764 cheer 34
1765 cheerlead 2
1766 chees 1
1767 chef 2
1768 chela 4
1769 chell 1
1770 chelsea 17
1771 chemic 7
1772 chemistri 3
1773 chemotherapi 1
1774 cheney 31
1775 cheri 12
1776 cherish 2
1777 chernomyrdin 2
1778 cheroke 3
1779 cheron 3
1780 cherri 2
1781 chesapeak 1
1782 chest 8
1783 chetna 1
1784 chetsov 1
1785 chew 1
1786 chi 25
1787 chic 1
1788 chicago 6
1789 chicken 2
1790 chide 1
1791 chief 197
1792 chiefli 3
1793 child 47
1794 childhood 4
1795 children 69
1796 chile 8
1797 chill 15
1798 chilli 5
1799 chillicoth 1
1800 china 31
1801 chines 11
1802 chinfo 4
1803 ching 1
1804 chink 1
1805 chino 1
1806 chip 8
1807 chirac 6
1808 chisel 1
1809 chizhov 1
1810 chizov 1
1811 chladkova 3
1812 chlorin 4
1813 chocol 1
1814 choi 1
1815 choic 41
1816 chok 1
1817 choke 7
1818 cholera 1
1819 chomp 1
1820 chon 1
1821 choos 18
1822 chopper 1
1823 chopstick 1
1824 choreograph 1
1825 chorichech 1
1826 choru 1
1827 chose 13
1828 chosen 14
1829 chouchescu 1
1830 chow 1
1831 chri 34
1832 chrisdorton 1
1833 christen 3
1834 christi 4
1835 christian 27
1836 christianchildrensfund 1
1837 christina 3
1838 christma 62
1839 christoph 17
1840 chronic 2
1841 chronicl 2
1842 chrysanthemum 1
1843 chu 1
1844 chubbi 2
1845 chuck 9
1846 chuckl 2
1847 chudakova 3
1848 chunk 4
1849 church 43
1850 churchvil 1
1851 churchworldservic 1
1852 churn 1
1853 cia 24
1854 cienfuego 1
1855 cigarett 2
1856 cinder 1
1857 cinderblock 3
1858 cinema 2
1859 cio 2
1860 circl 19
1861 circu 3
1862 circuit 8
1863 circul 8
1864 circumst 32
1865 circumstanti 2
1866 circumv 3
1867 cisnero 7
1868 ciss 1
1869 citadel 1
1870 citat 2
1871 cite 38
1872 citi 218
1873 citizen 73
1874 citizenri 2
1875 citizenship 10
1876 citywid 1
1877 civic 4
1878 civil 61
1879 civilian 52
1880 clad 3
1881 claiborn 1
1882 claim 129
1883 clair 6
1884 clamber 5
1885 clamor 3
1886 clandestin 3
1887 clap 1
1888 clarenc 1
1889 clarifi 3
1890 clariti 1
1891 clark 41
1892 clarkston 1
1893 clash 54
1894 clasp 1
1895 class 47
1896 classic 7
1897 classifi 38
1898 classmat 2
1899 classroom 2
1900 clavet 1
1901 claw 6
1902 clay 4
1903 clean 24
1904 cleanli 1
1905 cleans 6
1906 clear 187
1907 clearanc 5
1908 clearer 4
1909 clearest 1
1910 clearli 56
1911 cleavag 1
1912 cleaver 1
1913 clemenc 31
1914 clement 24
1915 clergi 2
1916 cleric 3
1917 clerk 6
1918 cleveland 1
1919 clever 4
1920 cleverli 1
1921 click 2
1922 client 9
1923 cliff 1
1924 clifford 2
1925 clijster 11
1926 climact 1
1927 climat 4
1928 climax 4
1929 climb 22
1930 clime 1
1931 clinch 2
1932 cling 8
1933 clinic 8
1934 clink 1
1935 clinton 271
1936 clintonesqu 1
1937 clintonit 1
1938 clip 2
1939 clister 1
1940 cloak 1
1941 clock 12
1942 clod 1
1943 clodfelt 4
1944 clog 1
1945 cloister 1
1946 cloner 1
1947 closabl 1
1948 close 259
1949 closemouth 1
1950 closer 29
1951 closest 32
1952 closet 1
1953 closeup 1
1954 closhg 1
1955 closur 7
1956 cloth 44
1957 cloud 22
1958 cloudless 1
1959 clout 4
1960 clown 1
1961 clton 1
1962 club 15
1963 clue 27
1964 clump 1
1965 clumsi 1
1966 clung 2
1967 cluster 4
1968 clutch 4
1969 clyde 1
1970 cmc 1
1971 cmdr 35
1972 cnn 49
1973 coach 15
1974 coachlight 8
1975 coal 32
1976 coalit 35
1977 coalmin 1
1978 coast 106
1979 coastal 10
1980 coaster 1
1981 coastlin 9
1982 coat 9
1983 coax 3
1984 cobar 1
1985 coburn 4
1986 coca 2
1987 cocain 8
1988 cochran 4
1989 cochranvil 1
1990 cock 6
1991 cocker 1
1992 cocktail 3
1993 coco 2
1994 cocoa 14
1995 cocodi 3
1996 code 7
1997 codi 5
1998 coercion 1
1999 coetzer 16
2000 coey 1
2001 coffe 26
2002 coffer 2
2003 coffield 1
2004 coffin 14
2005 cognac 1
2006 cohen 56
2007 coher 1
2008 cohes 3
2009 cohort 1
2010 coil 2
2011 coin 3
2012 coincid 6
2013 coincident 1
2014 coker 1
2015 coki 2
2016 col 18
2017 cold 45
2018 cole 290
2019 coleman 1
2020 coler 7
2021 colin 7
2022 colina 23
2023 collabor 3
2024 collag 1
2025 collaps 86
2026 collar 1
2027 collat 2
2028 colleagu 23
2029 collect 32
2030 collector 5
2031 colleg 35
2032 coller 4
2033 collid 7
2034 collin 2
2035 collis 20
2036 collus 1
2037 colo 9
2038 colobora 1
2039 colombia 10
2040 colombian 3
2041 colon 4
2042 coloni 20
2043 colonna 1
2044 color 16
2045 colorado 24
2046 columbia 15
2047 columbin 1
2048 column 7
2049 columnist 1
2050 comasagua 5
2051 comb 10
2052 combat 22
2053 combin 20
2054 combrat 1
2055 comeback 17
2056 comedian 1
2057 comen 1
2058 comfort 25
2059 comic 1
2060 command 127
2061 commando 5
2062 commemor 7
2063 commenc 1
2064 commend 3
2065 comment 82
2066 commentari 5
2067 commerc 11
2068 commerci 38
2069 comminut 1
2070 commiss 94
2071 commissari 2
2072 commission 15
2073 commit 89
2074 committe 80
2075 commod 11
2076 common 39
2077 commonli 5
2078 commot 1
2079 commun 113
2080 communiqu 5
2081 communist 65
2082 commut 20
2083 compact 1
2084 compani 76
2085 companion 4
2086 companionship 4
2087 compar 31
2088 comparison 9
2089 compart 38
2090 compass 5
2091 compassion 3
2092 compel 10
2093 compens 3
2094 compensatori 1
2095 compet 16
2096 competit 22
2097 competitor 2
2098 compil 4
2099 complac 4
2100 complain 40
2101 complaint 21
2102 complement 2
2103 complet 104
2104 complex 41
2105 compli 5
2106 complianc 2
2107 complic 31
2108 compliment 5
2109 compon 2
2110 compos 1
2111 composit 4
2112 composur 5
2113 compound 30
2114 comprehend 1
2115 comprehens 5
2116 compress 1
2117 compris 3
2118 compromis 16
2119 compuls 1
2120 comput 22
2121 comrad 7
2122 con 4
2123 conceal 10
2124 conced 49
2125 conceiv 9
2126 concentr 20
2127 concept 7
2128 concern 105
2129 concernusa 1
2130 concert 8
2131 concess 16
2132 conchita 3
2133 concili 2
2134 conciliatori 3
2135 conclud 47
2136 conclus 31
2137 concret 38
2138 concur 1
2139 concuss 1
2140 condemn 24
2141 condit 138
2142 condition 1
2143 condol 15
2144 condoleezza 1
2145 condon 2
2146 conduct 51
2147 conduit 1
2148 confer 68
2149 confess 10
2150 confetti 8
2151 confid 61
2152 confidenti 1
2153 configur 1
2154 confin 6
2155 confirm 117
2156 confisc 1
2157 conflict 46
2158 conform 1
2159 confound 2
2160 confront 39
2161 confus 22
2162 cong 1
2163 congeni 1
2164 congest 5
2165 congo 2
2166 congratul 29
2167 congreg 1
2168 congress 112
2169 congression 39
2170 congressman 42
2171 congressmen 1
2172 congresswoman 2
2173 conjunct 2
2174 conn 4
2175 connal 24
2176 connect 68
2177 connecticut 13
2178 connel 1
2179 connelli 1
2180 connett 1
2181 conni 7
2182 conniv 1
2183 connoli 1
2184 connolli 1
2185 connor 1
2186 conquer 1
2187 conqueror 3
2188 conquest 2
2189 conrad 6
2190 conscienc 3
2191 consciou 4
2192 conscious 2
2193 consecut 27
2194 consensu 9
2195 consent 2
2196 consequ 18
2197 consequenti 1
2198 conserv 19
2199 conservat 1
2200 conservationist 1
2201 consid 131
2202 consign 1
2203 consist 14
2204 consistu 1
2205 consol 8
2206 consolid 13
2207 consortium 7
2208 conspicu 2
2209 conspir 6
2210 conspiraci 18
2211 constant 10
2212 constantinescu 1
2213 constantli 10
2214 constern 1
2215 constitu 5
2216 constitut 105
2217 constrain 1
2218 constrict 1
2219 construct 30
2220 consul 10
2221 consular 3
2222 consult 20
2223 consum 5
2224 consumpt 1
2225 contact 38
2226 contamin 1
2227 contempl 4
2228 contemporari 2
2229 contempt 9
2230 contend 25
2231 content 20
2232 contenti 4
2233 contest 44
2234 context 10
2235 contin 6
2236 continent 1
2237 conting 4
2238 continu 230
2239 contort 1
2240 contra 1
2241 contract 26
2242 contractor 4
2243 contradict 6
2244 contrari 7
2245 contrast 5
2246 contribut 47
2247 contributor 5
2248 contrit 1
2249 contriv 1
2250 control 182
2251 controversi 34
2252 conven 8
2253 conveni 16
2254 convent 8
2255 converg 14
2256 convers 18
2257 convert 5
2258 convey 3
2259 convict 123
2260 convictsgetaway 1
2261 convinc 27
2262 convincingli 1
2263 convok 1
2264 convoy 14
2265 cooey 1
2266 cook 20
2267 cool 8
2268 cooler 2
2269 coon 1
2270 cooper 72
2271 coordin 27
2272 cop 2
2273 cope 9
2274 copi 19
2275 copper 2
2276 cord 1
2277 cordial 3
2278 cordillera 1
2279 cordon 10
2280 core 10
2281 corech 1
2282 coretta 1
2283 corey 2
2284 cori 3
2285 corina 4
2286 corn 2
2287 cornahaim 1
2288 cornaheim 1
2289 cornard 1
2290 corner 34
2291 cornerston 1
2292 cornett 2
2293 corni 1
2294 cornwal 1
2295 corollari 1
2296 coron 2
2297 corp 16
2298 corpor 15
2299 corps 13
2300 corpu 1
2301 corral 1
2302 correct 25
2303 correctli 5
2304 correl 4
2305 correspond 26
2306 corridor 2
2307 corros 3
2308 corrug 2
2309 corrupt 78
2310 corzin 13
2311 cosbi 1
2312 cosic 1
2313 cosmeniov 1
2314 cosminov 1
2315 cost 41
2316 costa 4
2317 costello 1
2318 costelow 1
2319 costli 5
2320 costliest 3
2321 cot 4
2322 coteri 1
2323 cotibua 1
2324 coton 1
2325 cotton 7
2326 couch 2
2327 coue 1
2328 couldn 54
2329 coulibali 9
2330 council 43
2331 councilman 1
2332 counsel 24
2333 counselor 2
2334 count 80
2335 counter 22
2336 counterattack 4
2337 counterintellig 3
2338 counternarcot 1
2339 counterpart 5
2340 counterpunch 1
2341 counterrevolutionari 1
2342 counterterror 10
2343 counti 35
2344 countless 1
2345 countri 412
2346 countryman 7
2347 countrymen 8
2348 countrysid 15
2349 coup 44
2350 coupl 40
2351 courag 11
2352 courier 3
2353 cours 62
2354 court 193
2355 courtesi 1
2356 courthous 4
2357 courtland 1
2358 courtroom 7
2359 courtsid 2
2360 courtyard 6
2361 cousin 4
2362 coustunitza 1
2363 coven 1
2364 cover 68
2365 coverag 19
2366 coverdel 3
2367 covic 3
2368 cow 7
2369 coward 2
2370 cowardli 15
2371 cowboy 3
2372 cower 3
2373 cowl 1
2374 cp 1
2375 cpn 2
2376 crabbi 1
2377 crack 32
2378 crackdown 10
2379 crackl 2
2380 cradl 1
2381 craft 19
2382 crafti 2
2383 cragey 3
2384 craggi 1
2385 craig 13
2386 cram 3
2387 cramp 8
2388 crane 18
2389 cranni 1
2390 crap 1
2391 crash 85
2392 crater 6
2393 crave 2
2394 crawl 9
2395 crazi 7
2396 creak 1
2397 creaki 2
2398 cream 3
2399 creasingli 1
2400 creat 50
2401 creation 5
2402 creativ 2
2403 creator 1
2404 credenc 2
2405 credenti 16
2406 credibl 42
2407 credit 20
2408 creditor 4
2409 cree 1
2410 creed 2
2411 creek 1
2412 creep 5
2413 creepi 1
2414 cremat 4
2415 crematoria 1
2416 crematorium 1
2417 crept 6
2418 crescent 1
2419 crest 2
2420 crestfallen 1
2421 crevic 1
2422 crew 133
2423 crewman 4
2424 crewmemb 5
2425 crewmen 10
2426 cri 38
2427 crime 83
2428 crimin 105
2429 criminolog 1
2430 crippl 40
2431 crise 14
2432 crisi 54
2433 crisp 3
2434 cristo 1
2435 criteria 2
2436 critic 121
2437 croat 3
2438 croatia 14
2439 croatian 3
2440 croifl 1
2441 croni 18
2442 crook 7
2443 crop 3
2444 crosbi 5
2445 cross 47
2446 crosscourt 5
2447 crossfir 1
2448 crouch 12
2449 crous 1
2450 crow 1
2451 crowbar 6
2452 crowd 106
2453 crowley 10
2454 crown 8
2455 crucial 21
2456 crucifi 1
2457 crude 1
2458 crue 1
2459 cruel 3
2460 cruelti 3
2461 cruis 16
2462 cruiser 3
2463 cruman 1
2464 crumbl 21
2465 crumpl 3
2466 crusad 4
2467 crush 22
2468 crust 1
2469 crutch 6
2470 cruz 1
2471 crwrc 1
2472 cryptic 1
2473 crystal 2
2474 cuba 9
2475 cuban 3
2476 cue 1
2477 cuellar 6
2478 cuff 1
2479 cul 1
2480 culmin 8
2481 culpabl 1
2482 culprit 9
2483 cultiv 2
2484 cultur 12
2485 cummin 2
2486 cun 5
2487 cuomo 3
2488 cup 9
2489 cupboard 1
2490 curb 4
2491 curdl 1
2492 cure 1
2493 curfew 10
2494 curios 2
2495 curiou 9
2496 currenc 2
2497 current 52
2498 curriculum 4
2499 curs 4
2500 cursori 1
2501 curt 2
2502 curtail 4
2503 curtain 3
2504 curti 3
2505 curv 3
2506 cush 2
2507 cusp 1
2508 cussin 2
2509 custodi 21
2510 custodian 3
2511 custom 9
2512 customari 2
2513 cut 115
2514 cutback 1
2515 cutigua 1
2516 cutter 8
2517 cybercaf 1
2518 cybernet 1
2519 cycl 3
2520 cyclon 1
2521 cylind 1
2522 cylindr 1
2523 cynic 9
2524 cypru 1
2525 cyr 1
2526 czarist 2
2527 czech 14
2528 czechoslovakian 1
2529 da 3
2530 dad 11
2531 dada 1
2532 dade 2
2533 dadiv 1
2534 dae 5
2535 daewoo 5
2536 dagestan 3
2537 dagger 3
2538 daili 29
2539 daja 2
2540 dakota 19
2541 dakotan 1
2542 dakouri 1
2543 dalal 1
2544 dale 2
2545 daley 7
2546 dali 1
2547 dalla 37
2548 dalworthington 1
2549 dam 1
2550 damag 156
2551 damascu 2
2552 dame 1
2553 damir 3
2554 dammaj 1
2555 damor 1
2556 damp 1
2557 dampen 2
2558 dan 18
2559 dana 2
2560 danah 4
2561 danburi 1
2562 danc 11
2563 dancer 3
2564 dandelion 1
2565 dane 1
2566 danewich 1
2567 danforth 3
2568 danger 103
2569 dangl 2
2570 daniel 19
2571 daniela 6
2572 daniil 2
2573 danni 1
2574 danzig 4
2575 daoud 1
2576 dapist 1
2577 dar 5
2578 darden 1
2579 dare 15
2580 daren 7
2581 dark 29
2582 darken 3
2583 darl 1
2584 darn 1
2585 darrel 2
2586 dart 1
2587 darwinian 1
2588 daschl 11
2589 dash 4
2590 dashboard 1
2591 data 4
2592 date 32
2593 datelin 7
2594 daughter 55
2595 daunt 6
2596 dave 18
2597 davenport 44
2598 davi 4
2599 david 59
2600 davidian 2
2601 dawn 24
2602 day 476
2603 daybreak 3
2604 dayeb 1
2605 daylight 4
2606 dayton 9
2607 daytona 1
2608 daze 4
2609 dazesurvivor 1
2610 dc 7
2611 dd 1
2612 ddg 7
2613 de 20
2614 dea 1
2615 deactiv 2
2616 dead 165
2617 deadli 53
2618 deadliest 16
2619 deadlin 13
2620 deadlock 3
2621 deaf 1
2622 deal 98
2623 dealt 6
2624 dean 5
2625 dear 5
2626 dearborn 1
2627 dearli 3
2628 death 211
2629 debar 1
2630 debat 65
2631 debbi 5
2632 deborah 3
2633 debra 2
2634 debri 47
2635 debt 14
2636 debut 1
2637 dec 48
2638 decad 83
2639 decay 2
2640 deceas 8
2641 deceit 1
2642 decemb 79
2643 decent 2
2644 decentr 3
2645 decept 1
2646 decibel 1
2647 decid 103
2648 decidedli 1
2649 decis 174
2650 deck 44
2651 declar 99
2652 declassifi 1
2653 declin 48
2654 decod 2
2655 decompos 1
2656 decor 2
2657 decrat 2
2658 decre 2
2659 decri 3
2660 ded 1
2661 dedic 9
2662 dedinj 5
2663 dee 1
2664 deed 3
2665 deem 8
2666 deep 54
2667 deepen 5
2668 deeper 3
2669 deepest 1
2670 deepli 23
2671 defac 1
2672 default 3
2673 defeat 143
2674 defect 2
2675 defenc 3
2676 defend 121
2677 defens 155
2678 defenselink 3
2679 defer 2
2680 defi 6
2681 defianc 7
2682 defiant 6
2683 defiantli 2
2684 defici 1
2685 deficit 11
2686 defin 7
2687 definit 37
2688 deflat 1
2689 deflect 6
2690 defoli 1
2691 defolt 1
2692 deforest 10
2693 defraud 3
2694 defunct 2
2695 defus 3
2696 degr 1
2697 degrad 4
2698 degre 31
2699 dehuman 1
2700 dehydr 3
2701 del 11
2702 delawar 25
2703 delay 34
2704 deleg 10
2705 delhi 17
2706 deli 1
2707 deliber 15
2708 delic 7
2709 delici 1
2710 delight 5
2711 deliv 36
2712 deliveri 2
2713 dell 1
2714 delsaut 2
2715 delta 9
2716 delus 2
2717 delv 1
2718 demaci 1
2719 demagogu 2
2720 demand 75
2721 demarc 1
2722 demean 1
2723 demeanor 2
2724 dementieva 5
2725 demick 1
2726 demilitar 1
2727 demis 6
2728 democraci 83
2729 democrat 188
2730 democratich 1
2731 demograph 1
2732 demolish 5
2733 demolit 5
2734 demon 4
2735 demonstr 88
2736 demot 2
2737 demur 1
2738 demystifi 1
2739 dengu 1
2740 deni 95
2741 denial 5
2742 denigr 1
2743 denis 14
2744 denisa 3
2745 denn 1
2746 denni 8
2747 denomin 1
2748 denounc 13
2749 dens 4
2750 dent 2
2751 dental 1
2752 denver 21
2753 depart 180
2754 departur 20
2755 depend 34
2756 depict 1
2757 deplan 1
2758 deplet 2
2759 deplor 2
2760 deploy 22
2761 deport 3
2762 deportieren 1
2763 depos 7
2764 deposit 4
2765 depot 4
2766 depress 3
2767 depriv 1
2768 dept 1
2769 depth 13
2770 deputi 46
2771 dequia 2
2772 derail 1
2773 derelict 1
2774 deriv 3
2775 desai 1
2776 descend 18
2777 descent 9
2778 describ 80
2779 descript 8
2780 desegreg 1
2781 desert 35
2782 deserv 15
2783 deservedli 2
2784 design 38
2785 designe 1
2786 desir 16
2787 desist 3
2788 desk 6
2789 desol 1
2790 despair 6
2791 desper 39
2792 despic 12
2793 despis 3
2794 despit 116
2795 despot 1
2796 destabil 3
2797 destin 10
2798 destini 1
2799 destitut 1
2800 destroy 227
2801 destruct 27
2802 desvid 1
2803 detach 3
2804 detail 89
2805 detain 31
2806 detaine 2
2807 detect 14
2808 detector 1
2809 detent 10
2810 deter 15
2811 deterg 1
2812 deterior 11
2813 determin 104
2814 deterr 2
2815 detest 1
2816 deton 30
2817 detour 4
2818 detritu 1
2819 detroit 3
2820 deuc 12
2821 deutch 8
2822 deutsch 1
2823 devast 58
2824 devastatingli 1
2825 develop 97
2826 deviat 1
2827 devic 15
2828 devilish 1
2829 devis 1
2830 devot 15
2831 devour 2
2832 devoutli 1
2833 dewat 2
2834 dewin 2
2835 dhabi 4
2836 dhahran 12
2837 dharan 1
2838 dhingra 1
2839 dhrumal 1
2840 diabak 1
2841 diagnos 5
2842 diagnosi 1
2843 diagnost 1
2844 diagnostico 1
2845 diagram 1
2846 dialect 1
2847 diallo 2
2848 dialo 3
2849 dialogu 8
2850 diamet 3
2851 diamond 3
2852 dian 2
2853 diann 3
2854 diari 1
2855 diarrhea 3
2856 diaz 2
2857 dick 36
2858 dickinson 1
2859 dictablanda 1
2860 dictadura 1
2861 dictat 29
2862 dictatori 3
2863 dictatorship 10
2864 diction 4
2865 dictionari 1
2866 dictment 1
2867 didn 128
2868 die 192
2869 diego 5
2870 dienstbier 2
2871 diesel 2
2872 diet 3
2873 differ 107
2874 difficult 84
2875 difficulti 21
2876 diffus 1
2877 dig 49
2878 digest 1
2879 digger 3
2880 digit 4
2881 dignitari 5
2882 digniti 8
2883 dilapid 1
2884 dilemma 4
2885 dilfer 1
2886 dilig 1
2887 dilut 1
2888 dime 1
2889 dimens 2
2890 diminish 5
2891 diminut 1
2892 dimitr 1
2893 dimitri 2
2894 dimmer 1
2895 dina 1
2896 dinar 2
2897 dine 8
2898 dinghi 4
2899 dingi 1
2900 dinh 2
2901 dinkic 3
2902 dinner 10
2903 dioulo 1
2904 dip 2
2905 diplomaci 8
2906 diplomat 69
2907 diplospeak 4
2908 dire 1
2909 direct 75
2910 directli 40
2911 director 102
2912 directrelief 1
2913 diring 1
2914 dirksen 1
2915 dirt 35
2916 dirti 11
2917 dirtiest 1
2918 disabl 4
2919 disadvantag 1
2920 disaffect 1
2921 disagr 3
2922 disagre 8
2923 disappear 24
2924 disappoint 25
2925 disapprov 1
2926 disarm 1
2927 disarma 1
2928 disarray 2
2929 disassembl 1
2930 disast 76
2931 disastr 8
2932 disband 6
2933 disbar 4
2934 disbelief 5
2935 disc 1
2936 discard 2
2937 discharg 3
2938 disciplin 13
2939 disciplinari 6
2940 disclos 12
2941 disclosur 7
2942 discomfort 4
2943 discont 2
2944 discontinu 1
2945 discord 2
2946 discothequ 1
2947 discount 1
2948 discourag 7
2949 discov 37
2950 discoveri 12
2951 discovi 1
2952 discredit 10
2953 discreet 1
2954 discrep 4
2955 discret 4
2956 discrimin 2
2957 discuss 75
2958 disdain 4
2959 diseas 9
2960 disenfranchis 3
2961 disgaz 1
2962 disgrac 12
2963 disgruntl 5
2964 disguis 9
2965 disgust 1
2966 dish 1
2967 dishdasha 1
2968 dishearten 2
2969 dishonor 2
2970 disillus 2
2971 disinfect 5
2972 disinform 1
2973 disintegr 10
2974 dislik 1
2975 disloc 2
2976 dislodg 2
2977 dismal 1
2978 dismantl 8
2979 dismay 3
2980 dismemb 1
2981 dismiss 32
2982 disobedi 14
2983 disord 3
2984 disori 2
2985 dispar 4
2986 disparag 2
2987 dispatch 31
2988 dispel 2
2989 dispens 1
2990 dispers 13
2991 displac 2
2992 display 29
2993 displeas 1
2994 displeasur 1
2995 dispos 12
2996 disposit 1
2997 disprov 2
2998 disput 33
2999 disqualifi 6
3000 disquiet 1
3001 disregard 5
3002 disreput 1
3003 disrespect 2
3004 disrupt 9
3005 dissect 1
3006 dissemin 4
3007 dissent 5
3008 dissid 6
3009 dissip 1
3010 dissolv 12
3011 dissuas 1
3012 distanc 16
3013 distant 7
3014 distinct 7
3015 distinctli 1
3016 distinguish 7
3017 distort 6
3018 distract 8
3019 distraught 13
3020 distress 4
3021 distribut 26
3022 district 38
3023 distrust 1
3024 disturb 9
3025 disun 2
3026 ditch 5
3027 dive 21
3028 diver 67
3029 divers 8
3030 diversifi 1
3031 divert 8
3032 divid 33
3033 divis 26
3034 divorc 3
3035 divulg 4
3036 dixon 3
3037 dixvil 1
3038 dizzi 2
3039 djahouri 1
3040 djibouti 20
3041 djikal 1
3042 djila 1
3043 djindjic 17
3044 djukanov 3
3045 djuro 1
3046 dmitri 12
3047 dmon 1
3048 dna 5
3049 dnevnik 1
3050 doan 1
3051 dobrica 1
3052 dochterman 1
3053 dock 42
3054 docksid 2
3055 doctor 52
3056 doctorswithoutbord 1
3057 doctrin 1
3058 document 44
3059 documentari 1
3060 dodg 1
3061 dodgi 3
3062 doe 93
3063 doer 1
3064 doesn 43
3065 dog 32
3066 dogged 1
3067 doggedli 1
3068 doha 1
3069 dokic 9
3070 doll 1
3071 dollar 47
3072 dolphin 1
3073 domain 1
3074 dome 2
3075 domest 16
3076 domin 42
3077 dominican 1
3078 dominik 16
3079 dominikov 4
3080 dominion 2
3081 dominiqu 1
3082 domino 3
3083 don 210
3084 donald 35
3085 donaldson 2
3086 donat 19
3087 dong 1
3088 donkey 1
3089 donna 2
3090 donnel 3
3091 donor 11
3092 dooda 1
3093 doom 9
3094 door 55
3095 doorway 2
3096 dopher 1
3097 dora 1
3098 dorcol 1
3099 doreen 1
3100 dori 1
3101 dormitori 1
3102 dorothi 3
3103 dose 1
3104 dostoyevski 1
3105 dot 3
3106 doubl 46
3107 doubt 52
3108 doudou 1
3109 doug 1
3110 dougal 9
3111 dougherti 2
3112 dougla 1
3113 dour 2
3114 dove 1
3115 dover 24
3116 dow 2
3117 downbeat 1
3118 downfal 19
3119 downplay 3
3120 downpour 1
3121 downstair 2
3122 downtown 29
3123 dows 1
3124 doyal 1
3125 doze 1
3126 dozen 114
3127 dozo 1
3128 dpko 1
3129 dpmo 2
3130 dr 8
3131 draconian 2
3132 draft 16
3133 drag 15
3134 dragan 6
3135 dragana 1
3136 dragesa 1
3137 dragisha 1
3138 dragoljub 8
3139 dragomir 2
3140 dragon 2
3141 drain 8
3142 drama 13
3143 draman 15
3144 dramat 33
3145 drape 18
3146 draper 2
3147 draskov 4
3148 drastic 1
3149 draw 48
3150 drawn 17
3151 dread 1
3152 dream 20
3153 dress 24
3154 dresser 1
3155 drew 23
3156 drexel 1
3157 dri 17
3158 drift 3
3159 drill 8
3160 drink 13
3161 drip 1
3162 drissa 3
3163 drive 65
3164 driven 17
3165 driver 24
3166 driveway 1
3167 drizzl 1
3168 drizzli 1
3169 drop 52
3170 drought 2
3171 drove 22
3172 drown 6
3173 drub 1
3174 drudg 1
3175 drug 41
3176 drugli 1
3177 drum 1
3178 drumbeat 2
3179 drummer 2
3180 drunk 3
3181 drunken 1
3182 drydock 1
3183 dtic 2
3184 du 1
3185 dual 1
3186 duan 1
3187 dub 3
3188 dubai 5
3189 dubiou 1
3190 duboc 1
3191 duc 7
3192 duck 4
3193 duct 6
3194 dudley 12
3195 due 38
3196 duel 3
3197 duffel 2
3198 duffi 4
3199 duffl 1
3200 dug 22
3201 duglon 1
3202 duguid 2
3203 duke 1
3204 dull 1
3205 duluth 1
3206 duma 1
3207 dump 12
3208 duo 1
3209 duopoli 1
3210 dupe 1
3211 duplic 1
3212 durango 2
3213 dure 281
3214 duress 1
3215 dusan 1
3216 dusk 2
3217 dust 13
3218 dusti 11
3219 dutch 3
3220 duti 27
3221 duval 1
3222 dwarf 1
3223 dwell 2
3224 dweller 3
3225 dwight 2
3226 dwindl 11
3227 dwyer 1
3228 dy 5
3229 dye 2
3230 dygalo 2
3231 dynam 4
3232 dynamit 8
3233 dynasti 1
3234 dysfunct 1
3235 eager 18
3236 eagl 1
3237 eagleton 1
3238 eaker 1
3239 eant 1
3240 ear 7
3241 eardrum 2
3242 earli 181
3243 earlier 188
3244 earliest 7
3245 earmark 8
3246 earn 23
3247 earnest 5
3248 earshot 1
3249 earth 29
3250 earthmov 3
3251 earthquak 111
3252 eas 27
3253 easi 34
3254 easier 12
3255 easiest 2
3256 easili 25
3257 easley 1
3258 east 128
3259 eastern 40
3260 eat 15
3261 eaten 3
3262 eavesdrop 1
3263 eb 3
3264 ebb 5
3265 ebri 1
3266 eccel 1
3267 echeverria 1
3268 echo 28
3269 eclips 2
3270 ecolog 1
3271 ecologist 1
3272 econolin 1
3273 econom 83
3274 economi 73
3275 economist 12
3276 ecstat 1
3277 ecuador 10
