116
t_index tf-idf
68 0.05326496627943589
209 0.04073416110604515
848 0.0775138871044012
944 0.048447699260611564
960 0.29262579708683417
1091 0.13723744584300662
1504 0.026466042446046213
1610 0.04569379079291048
1719 0.04960841495082818
1878 0.07061235873125099
1948 0.03525393947358961
1975 0.08638814094918422
2053 0.09788130263018674
2160 0.08155063946775093
2875 0.09668821983177976
2982 0.10660319868198738
3062 0.060299755727169065
3083 0.04038230832101907
3149 0.0764731620989766
3274 0.06622089036096832
3331 0.03070133457392853
3333 0.07973845153383896
3426 0.07359297269650215
3489 0.06137480122477858
3557 0.06982347268363133
4007 0.053595686570323535
4143 0.08093153433224594
4275 0.0763154877831626
4310 0.09668821983177976
4335 0.04583891493795736
4519 0.06398176603430512
4572 0.009156419074330673
4625 0.046279527699447424
4741 0.0624992911404323
4746 0.07916305212340509
4920 0.03880412549022418
4939 0.08796632377997911
4949 0.03274370185748341
4953 0.03223775249846894
4999 0.05406678718409751
5194 0.05926998897721249
5466 0.10841538661589935
5542 0.14998137441020754
5592 0.08283795493254964
5909 0.07405005790500625
5992 0.03157903666444505
6002 0.04219449625493103
6081 0.051368407888044906
6129 0.08965343038404658
6278 0.22500083612083147
6340 0.0675762632695519
6366 0.04038230832101907
6414 0.0714275457727131
6721 0.3082104473282694
6734 0.07698798841262722
6879 0.03414642883851575
7103 0.09788130263018674
7125 0.13737180522865303
7189 0.02775157657071174
7448 0.02803104643164598
7466 0.21544225908372808
7494 0.05406678718409751
7529 0.07405005790500625
7854 0.04002978559046706
7887 0.055753893788164983
8057 0.042958725535482904
8097 0.12732246699279898
8153 0.029329759401506627
8225 0.016749603360371172
8227 0.039133838530263323
8230 0.1317763732692177
8348 0.052109475105138664
8411 0.09788130263018674
8457 0.03992091073323077
8503 0.13311636649753794
8533 0.05287370438569053
8617 0.06588818663460885
8733 0.13887674530248684
8863 0.09913559533957164
8982 0.12028767754506582
9036 0.10185543435325219
9508 0.07270366208610579
9523 0.07547492771530764
9524 0.12442656765092858
9719 0.12028767754506582
9727 0.09054274099444296
9751 0.08490566605531139
9871 0.10574740877138106
10118 0.07405005790500625
10206 0.05386385368194325
10245 0.05100612945942979
10290 0.09242469601324844
10303 0.12732246699279898
10356 0.24885313530185715
10381 0.06655818324876897
10524 0.05828184052755645
10679 0.13178083922606834
10823 0.027346630999754377
10849 0.04765110287186933
10902 0.05854134627011993
10960 0.1606554346328869
10967 0.05756608172207695
11081 0.029778457250412928
11591 0.03378813163477595
11622 0.05756608172207695
11761 0.05877092376411888
11813 0.05877092376411888
11839 0.12028767754506582
11858 0.02587991553087016
11914 0.04583891493795736
12017 0.0605641188064604
12019 0.12002372753209255
12022 0.05012324126447879
12035 0.07451585002001776
12106 0.015624117969675366
12144 0.05229830497525667
